字詞名,注音一式
馬蹄鐵,ㄇㄚˇ　ㄊㄧˊ　ㄊㄧㄝˇ
馬到成功,ㄇㄚˇ　ㄉㄠˋ　ㄔㄥˊ　ㄍㄨㄥ
馬馬虎虎,ㄇㄚˇ　ㄇㄚˇ　ㄏㄨ　ㄏㄨ
馬屁精,ㄇㄚˇ　ㄆㄧˋ　ㄐㄧㄥ
馬不停蹄,ㄇㄚˇ　ㄅㄨˋ　ㄊㄧㄥˊ　ㄊㄧˊ
痲瘋病,ㄇㄚˊ　ㄈㄥ　ㄅㄧㄥˋ
麻衣相法,ㄇㄚˊ　ㄧ　ㄒㄧㄤˋ　ㄈㄚˇ
麻醉藥品,ㄇㄚˊ　ㄗㄨㄟˋ　ㄧㄠˋ　ㄆㄧㄣˇ
麻醉劑,ㄇㄚˊ　ㄗㄨㄟˋ　ㄐㄧˋ
麻雀雖小，五臟俱全,ㄇㄚˊ　ㄑㄩㄝˋ　ㄙㄨㄟ　ㄒㄧㄠˇ　ㄨˇ　ㄗㄤˋ　ㄐㄩˋ　ㄑㄩㄢˊ
麻木不仁,ㄇㄚˊ　ㄇㄨˋ　ㄅㄨˋ　ㄖㄣˊ
普降甘霖,ㄆㄨˇ　ㄐㄧㄤˋ　ㄍㄢ　ㄌㄧㄣˊ
普立茲獎,ㄆㄨˇ　ㄌㄧˋ　ㄗ　ㄐㄧㄤˇ
普通車,ㄆㄨˇ　ㄊㄨㄥ　ㄔㄜ
普天之下,ㄆㄨˇ　ㄊㄧㄢ　ㄓ　ㄒㄧㄚˋ
普天同慶,ㄆㄨˇ　ㄊㄧㄢ　ㄊㄨㄥˊ　ㄑㄧㄥˋ
普渡眾生,ㄆㄨˇ　ㄉㄨˋ　ㄓㄨㄥˋ　ㄕㄥ
普遍級,ㄆㄨˇ　ㄅㄧㄢˋ　ㄐㄧˊ
樸實無華,ㄆㄨˊ　ㄕˊ　ㄨˊ　ㄏㄨㄚˊ
璞玉渾金,ㄆㄨˊ　ㄩˋ　ㄏㄨㄣˊ　ㄐㄧㄣ
菩薩心腸,ㄆㄨˊ　ㄙㄚˋ　ㄒㄧㄣ　ㄔㄤˊ
菩提樹,ㄆㄨˊ　ㄊㄧˊ　ㄕㄨˋ
蒲公英,ㄆㄨˊ　ㄍㄨㄥ　ㄧㄥ
蒲柳之姿,ㄆㄨˊ　ㄌㄧㄡˇ　ㄓ　ㄗ
葡萄柚,ㄆㄨˊ　ㄊㄠˊ　ㄧㄡˋ
葡萄酒,ㄆㄨˊ　ㄊㄠˊ　ㄐㄧㄡˇ
葡萄糖,ㄆㄨˊ　ㄊㄠˊ　ㄊㄤˊ
莆田縣,ㄆㄨˊ　ㄊㄧㄢˊ　ㄒㄧㄢˋ
撲朔迷離,ㄆㄨ　ㄕㄨㄛˋ　ㄇㄧˊ　ㄌㄧˊ
撲克牌,ㄆㄨ　ㄎㄜˋ　ㄆㄞˊ
萍蹤不定,ㄆㄧㄥˊ　ㄗㄨㄥ　ㄅㄨˋ　ㄉㄧㄥˋ　（變）ㄆㄧㄥˊ　ㄗㄨㄥ　ㄅㄨˊ　ㄉㄧㄥˋ
萍水相逢,ㄆㄧㄥˊ　ㄕㄨㄟˇ　ㄒㄧㄤ　ㄈㄥˊ
評頭論足,ㄆㄧㄥˊ　ㄊㄡˊ　ㄌㄨㄣˋ　ㄗㄨˊ
平易近人,ㄆㄧㄥˊ　ㄧˋ　ㄐㄧㄣˋ　ㄖㄣˊ
平安夜,ㄆㄧㄥˊ　ㄢ　ㄧㄝˋ
平安險,ㄆㄧㄥˊ　ㄢ　ㄒㄧㄢˇ
平常心,ㄆㄧㄥˊ　ㄔㄤˊ　ㄒㄧㄣ
平裝書,ㄆㄧㄥˊ　ㄓㄨㄤ　ㄕㄨ
平行四邊形,ㄆㄧㄥˊ　ㄒㄧㄥˊ　ㄙˋ　ㄅㄧㄢ　ㄒㄧㄥˊ
平行線,ㄆㄧㄥˊ　ㄒㄧㄥˊ　ㄒㄧㄢˋ
平行輸入,ㄆㄧㄥˊ　ㄒㄧㄥˊ　ㄕㄨ　ㄖㄨˋ
平心而論,ㄆㄧㄥˊ　ㄒㄧㄣ　ㄦˊ　ㄌㄨㄣˋ
