字詞名,注音一式
欲速則不達,ㄩˋ　ㄙㄨˋ　ㄗㄜˊ　ㄅㄨˋ　ㄉㄚˊ
欺世盜名,ㄑㄧ　ㄕˋ　ㄉㄠˋ　ㄇㄧㄥˊ
欺人太甚,ㄑㄧ　ㄖㄣˊ　ㄊㄞˋ　ㄕㄣˋ
欺人自欺,ㄑㄧ　ㄖㄣˊ　ㄗˋ　ㄑㄧ
欺善怕惡,ㄑㄧ　ㄕㄢˋ　ㄆㄚˋ　ㄜˋ
款款動人,ㄎㄨㄢˇ　ㄎㄨㄢˇ　ㄉㄨㄥˋ　ㄖㄣˊ
歃血為盟,ㄕㄚˋ　ㄒㄧㄝˇ　ㄨㄟˊ　ㄇㄥˊ
歇後語,ㄒㄧㄝ　ㄏㄡˋ　ㄩˇ
歇斯底里,ㄒㄧㄝ　ㄙ　ㄉㄧˇ　ㄌㄧˇ
歌仔戲,ㄍㄜ　ㄗˇ　ㄒㄧˋ
歌功頌德,ㄍㄜ　ㄍㄨㄥ　ㄙㄨㄥˋ　ㄉㄜˊ
歌友會,ㄍㄜ　ㄧㄡˇ　ㄏㄨㄟˋ
歌舞昇平,ㄍㄜ　ㄨˇ　ㄕㄥ　ㄆㄧㄥˊ
歐吉桑,ㄡ　ㄐㄧˊ　ㄙㄤ
歐巴桑,ㄡ　˙　ㄅㄚ　ㄙㄤ
歐普藝術,ㄡ　ㄆㄨˇ　ㄧˋ　ㄕㄨˋ
歐洲共同市場,ㄡ　ㄓㄡ　ㄍㄨㄥˋ　ㄊㄨㄥˊ　ㄕˋ　ㄔㄤˇ
歡喜冤家,ㄏㄨㄢ　ㄒㄧˇ　ㄩㄢ　ㄐㄧㄚ
歡天喜地,ㄏㄨㄢ　ㄊㄧㄢ　ㄒㄧˇ　ㄉㄧˋ
歡欣鼓舞,ㄏㄨㄢ　ㄒㄧㄣ　ㄍㄨˇ　ㄨˇ
歡聚一堂,ㄏㄨㄢ　ㄐㄩˋ　ㄧˋ　ㄊㄤˊ
歡聲雷動,ㄏㄨㄢ　ㄕㄥ　ㄌㄟˊ　ㄉㄨㄥˋ
正中下懷,ㄓㄥˋ　ㄓㄨㄥˋ　ㄒㄧㄚˋ　ㄏㄨㄞˊ
正人君子,ㄓㄥˋ　ㄖㄣˊ　ㄐㄩㄣ　ㄗˇ
正大光明,ㄓㄥˋ　ㄉㄚˋ　ㄍㄨㄤ　ㄇㄧㄥˊ
正字標記,ㄓㄥˋ　ㄗˋ　ㄅㄧㄠ　ㄐㄧˋ
正方形,ㄓㄥˋ　ㄈㄤ　ㄒㄧㄥˊ
正方體,ㄓㄥˋ　ㄈㄤ　ㄊㄧˇ
正本清源,ㄓㄥˋ　ㄅㄣˇ　ㄑㄧㄥ　ㄩㄢˊ
正比例,ㄓㄥˋ　ㄅㄧˇ　ㄌㄧˋ
正義感,ㄓㄥˋ　ㄧˋ　ㄍㄢˇ
正襟危坐,ㄓㄥˋ　ㄐㄧㄣ　ㄨㄟˊ　ㄗㄨㄛˋ
正規軍,ㄓㄥˋ　ㄍㄨㄟ　ㄐㄩㄣ
正集團,ㄓㄥˋ　ㄐㄧˊ　ㄊㄨㄢˊ
步步為營,ㄅㄨˋ　ㄅㄨˋ　ㄨㄟˊ　ㄧㄥˊ
步罡踏斗,ㄅㄨˋ　ㄍㄤ　ㄊㄚˋ　ㄉㄡˇ
武士道,ㄨˇ　ㄕˋ　ㄉㄠˋ
武術指導,ㄨˇ　ㄕㄨˋ　ㄓˇ　ㄉㄠˇ
歧路亡羊,ㄑㄧˊ　ㄌㄨˋ　ㄨㄤˊ　ㄧㄤˊ
歧音異義字,ㄑㄧˊ　ㄧㄣ　ㄧˋ　ㄧˋ　ㄗˋ
歪七扭八,ㄨㄞ　ㄑㄧ　ㄋㄧㄡˇ　ㄅㄚ
歪主意,ㄨㄞ　ㄓㄨˇ　ㄧˋ
歪打正著,ㄨㄞ　ㄉㄚˇ　ㄓㄥˋ　ㄓㄠˊ
歲寒三友,ㄙㄨㄟˋ　ㄏㄢˊ　ㄙㄢ　ㄧㄡˇ
歲月如梭,ㄙㄨㄟˋ　ㄩㄝˋ　ㄖㄨˊ　ㄙㄨㄛ
歷久不衰,ㄌㄧˋ　ㄐㄧㄡˇ　ㄅㄨˋ　ㄕㄨㄞ
歷久彌新,ㄌㄧˋ　ㄐㄧㄡˇ　ㄇㄧˊ　ㄒㄧㄣ
歷史名詞,ㄌㄧˋ　ㄕˇ　ㄇㄧㄥˊ　ㄘˊ
歷史小說,ㄌㄧˋ　ㄕˇ　ㄒㄧㄠˇ　ㄕㄨㄛ
歷歷在目,ㄌㄧˋ　ㄌㄧˋ　ㄗㄞˋ　ㄇㄨˋ
歷盡滄桑,ㄌㄧˋ　ㄐㄧㄣˋ　ㄘㄤ　ㄙㄤ
歸心似箭,ㄍㄨㄟ　ㄒㄧㄣ　ㄙˋ　ㄐㄧㄢˋ
歸根究柢,ㄍㄨㄟ　ㄍㄣ　ㄐㄧㄡˋ　ㄉㄧˇ
歸納法,ㄍㄨㄟ　ㄋㄚˋ　ㄈㄚˇ
死不瞑目,ㄙˇ　ㄅㄨˋ　ㄇㄧㄥˊ　ㄇㄨˋ
死亡學,ㄙˇ　ㄨㄤˊ　ㄒㄩㄝˊ
死亡率,ㄙˇ　ㄨㄤˊ　ㄌㄩˋ
死去活來,ㄙˇ　ㄑㄩˋ　ㄏㄨㄛˊ　ㄌㄞˊ
死對頭,ㄙˇ　ㄉㄨㄟˋ　˙　ㄊㄡ
死心塌地,ㄙˇ　ㄒㄧㄣ　ㄊㄚ　ㄉㄧˋ
死心眼兒,ㄙˇ　ㄒㄧㄣ　ㄧㄢˇ　ㄦ（ㄧㄚˇ　ㄦ）
死於非命,ㄙˇ　ㄩˊ　ㄈㄟ　ㄇㄧㄥˋ
死有餘辜,ㄙˇ　ㄧㄡˇ　ㄩˊ　ㄍㄨ
死氣沉沉,ㄙˇ　ㄑㄧˋ　ㄔㄣˊ　ㄔㄣˊ
死火山,ㄙˇ　ㄏㄨㄛˇ　ㄕㄢ
死灰復燃,ㄙˇ　ㄏㄨㄟ　ㄈㄨˋ　ㄖㄢˊ
死皮賴臉,ㄙˇ　ㄆㄧˊ　ㄌㄞˋ　ㄌㄧㄢˇ
死硬派,ㄙˇ　ㄧㄥˋ　ㄆㄞˋ
死而後已,ㄙˇ　ㄦˊ　ㄏㄡˋ　ㄧˇ
死胡同,ㄙˇ　ㄏㄨˊ　˙　ㄊㄨㄥ
死裡逃生,ㄙˇ　ㄌㄧˇ　ㄊㄠˊ　ㄕㄥ
死馬當活馬醫,ㄙˇ　ㄇㄚˇ　ㄉㄤˋ　ㄏㄨㄛˊ　ㄇㄚˇ　ㄧ
殃及池魚,ㄧㄤ　ㄐㄧˊ　ㄔˊ　ㄩˊ
殊不知,ㄕㄨ　ㄅㄨˋ　ㄓ
殊死戰,ㄕㄨ　ㄙˇ　ㄓㄢˋ
殊途同歸,ㄕㄨ　ㄊㄨˊ　ㄊㄨㄥˊ　ㄍㄨㄟ
殖民主義,ㄓˊ　ㄇㄧㄣˊ　ㄓㄨˇ　ㄧˋ
殖民地,ㄓˊ　ㄇㄧㄣˊ　ㄉㄧˋ
殷鑑不遠,ㄧㄣ　ㄐㄧㄢˋ　ㄅㄨˋ　ㄩㄢˇ
殺一儆百,ㄕㄚ　ㄧ　ㄐㄧㄥˇ　ㄅㄞˇ
殺人不眨眼,ㄕㄚ　ㄖㄣˊ　ㄅㄨˋ　ㄓㄚˇ　ㄧㄢˇ
殺人不見血,ㄕㄚ　ㄖㄣˊ　ㄅㄨˋ　ㄐㄧㄢˋ　ㄒㄧㄝˇ
殺人如麻,ㄕㄚ　ㄖㄣˊ　ㄖㄨˊ　ㄇㄚˊ
殺人滅口,ㄕㄚ　ㄖㄣˊ　ㄇㄧㄝˋ　ㄎㄡˇ
殺人犯,ㄕㄚ　ㄖㄣˊ　ㄈㄢˋ
殺人罪,ㄕㄚ　ㄖㄣˊ　ㄗㄨㄟˋ
殺出重圍,ㄕㄚ　ㄔㄨ　ㄔㄨㄥˊ　ㄨㄟˊ
殺聲震天,ㄕㄚ　ㄕㄥ　ㄓㄣˋ　ㄊㄧㄢ
殺蟲劑,ㄕㄚ　ㄔㄨㄥˊ　ㄐㄧˋ
殺身之禍,ㄕㄚ　ㄕㄣ　ㄓ　ㄏㄨㄛˋ
殺身成仁,ㄕㄚ　ㄕㄣ　ㄔㄥˊ　ㄖㄣˊ
殺雞儆猴,ㄕㄚ　ㄐㄧ　ㄐㄧㄥˇ　ㄏㄡˊ
殺雞取卵,ㄕㄚ　ㄐㄧ　ㄑㄩˇ　ㄌㄨㄢˇ
殺雞焉用牛刀,ㄕㄚ　ㄐㄧ　ㄧㄢ　ㄩㄥˋ　ㄋㄧㄡˊ　ㄉㄠ
殺風景,ㄕㄚ　ㄈㄥ　ㄐㄧㄥˇ
毀於一旦,ㄏㄨㄟˇ　ㄩˊ　ㄧ　ㄉㄢˋ
毀譽參半,ㄏㄨㄟˇ　ㄩˋ　ㄘㄢ　ㄅㄢˋ
毅然決然,ㄧˋ　ㄖㄢˊ　ㄐㄩㄝˊ　ㄖㄢˊ
毋庸置疑,ㄨˊ　ㄩㄥ　ㄓˋ　ㄧˊ
毋忘在莒,ㄨˊ　ㄨㄤˋ　ㄗㄞˋ　ㄐㄩˇ
毋枉毋縱,ㄨˊ　ㄨㄤˇ　ㄨˊ　ㄗㄨㄥˋ
每下愈況,ㄇㄟˇ　ㄒㄧㄚˋ　ㄩˋ　ㄎㄨㄤˋ
毛手毛腳,ㄇㄠˊ　ㄕㄡˇ　ㄇㄠˊ　ㄐㄧㄠˇ
毛毛蟲,ㄇㄠˊ　˙　ㄇㄠ　ㄔㄨㄥˊ
毛毛雨,ㄇㄠˊ　˙　ㄇㄠ　ㄩˇ
毛細管現象,ㄇㄠˊ　ㄒㄧˋ　ㄍㄨㄢˇ　ㄒㄧㄢˋ　ㄒㄧㄤˋ
毛茸茸,ㄇㄠˊ　ㄖㄨㄥˊ　ㄖㄨㄥˊ
毛骨悚然,ㄇㄠˊ　ㄍㄨˇ　ㄙㄨㄥˇ　ㄖㄢˊ
毫不做作,ㄏㄠˊ　ㄅㄨˋ　ㄗㄨㄛˋ　ㄗㄨㄛˋ
毫不在意,ㄏㄠˊ　˙　ㄅㄨ　ㄗㄞˋ　ㄧˋ
毫不掩飾,ㄏㄠˊ　ㄅㄨˋ　ㄧㄢˇ　ㄕˋ
毫不猶豫,ㄏㄠˊ　ㄅㄨˋ　ㄧㄡˊ　ㄩˋ
毫不留情,ㄏㄠˊ　ㄅㄨˋ　ㄌㄧㄡˊ　ㄑㄧㄥˊ
毫不遜色,ㄏㄠˊ　ㄅㄨˋ　ㄒㄩㄣˋ　ㄙㄜˋ
毫無二致,ㄏㄠˊ　ㄨˊ　ㄦˋ　ㄓˋ
毫無忌憚,ㄏㄠˊ　ㄨˊ　ㄐㄧˋ　ㄉㄢˋ
毫無機心,ㄏㄠˊ　ㄨˊ　ㄐㄧ　ㄒㄧㄣ
毫無章法,ㄏㄠˊ　ㄨˊ　ㄓㄤ　ㄈㄚˇ
毫無節制,ㄏㄠˊ　ㄨˊ　ㄐㄧㄝˊ　ㄓˋ
民不聊生,ㄇㄧㄣˊ　ㄅㄨˋ　ㄌㄧㄠˊ　ㄕㄥ
民主化,ㄇㄧㄣˊ　ㄓㄨˇ　ㄏㄨㄚˋ
民主國家,ㄇㄧㄣˊ　ㄓㄨˇ　ㄍㄨㄛˊ　ㄐㄧㄚ
民主政治,ㄇㄧㄣˊ　ㄓㄨˇ　ㄓㄥˋ　ㄓˋ
民事訴訟,ㄇㄧㄣˊ　ㄕˋ　ㄙㄨˋ　ㄙㄨㄥˋ
民康物阜,ㄇㄧㄣˊ　ㄎㄤ　ㄨˋ　ㄈㄨˋ
民惟邦本,ㄇㄧㄣˊ　ㄨㄟˊ　ㄅㄤ　ㄅㄣˇ
民意代表,ㄇㄧㄣˊ　ㄧˋ　ㄉㄞˋ　ㄅㄧㄠˇ
民意機關,ㄇㄧㄣˊ　ㄧˋ　ㄐㄧ　ㄍㄨㄢ
民意測驗,ㄇㄧㄣˊ　ㄧˋ　ㄘㄜˋ　ㄧㄢˋ
民意調查,ㄇㄧㄣˊ　ㄧˋ　ㄉㄧㄠˋ　ㄔㄚˊ
民族主義,ㄇㄧㄣˊ　ㄗㄨˊ　ㄓㄨˇ　ㄧˋ
民族意識,ㄇㄧㄣˊ　ㄗㄨˊ　ㄧˋ　ㄕˋ
民族藝師,ㄇㄧㄣˊ　ㄗㄨˊ　ㄧˋ　ㄕ
民權主義,ㄇㄧㄣˊ　ㄑㄩㄢˊ　ㄓㄨˇ　ㄧˋ
民生主義,ㄇㄧㄣˊ　ㄕㄥ　ㄓㄨˇ　ㄧˋ
民生凋敝,ㄇㄧㄣˊ　ㄕㄥ　ㄉㄧㄠ　ㄅㄧˋ
民生問題,ㄇㄧㄣˊ　ㄕㄥ　ㄨㄣˋ　ㄊㄧˊ
民用機場,ㄇㄧㄣˊ　ㄩㄥˋ　ㄐㄧ　ㄔㄤˇ
民用航空站,ㄇㄧㄣˊ　ㄩㄥˋ　ㄏㄤˊ　ㄎㄨㄥ　ㄓㄢˋ
民胞物與,ㄇㄧㄣˊ　ㄅㄠ　ㄨˋ　ㄩˇ
民脂民膏,ㄇㄧㄣˊ　ㄓ　ㄇㄧㄣˊ　ㄍㄠ
民間團體,ㄇㄧㄣˊ　ㄐㄧㄢ　ㄊㄨㄢˊ　ㄊㄧˇ
民間文學,ㄇㄧㄣˊ　ㄐㄧㄢ　ㄨㄣˊ　ㄒㄩㄝˊ
氣不過,ㄑㄧˋ　ㄅㄨˋ　ㄍㄨㄛˋ
氣功療法,ㄑㄧˋ　ㄍㄨㄥ　ㄌㄧㄠˊ　ㄈㄚˇ
氣勢洶洶,ㄑㄧˋ　ㄕˋ　ㄒㄩㄥ　ㄒㄩㄥ
氣勢磅礴,ㄑㄧˋ　ㄕˋ　ㄆㄤ　ㄅㄛˊ
氣味相投,ㄑㄧˋ　ㄨㄟˋ　ㄒㄧㄤ　ㄊㄡˊ
氣喘吁吁,ㄑㄧˋ　ㄔㄨㄢˇ　ㄒㄩ　ㄒㄩ
氣喘如牛,ㄑㄧˋ　ㄔㄨㄢˇ　ㄖㄨˊ　ㄋㄧㄡˊ
氣墊船,ㄑㄧˋ　ㄉㄧㄢˋ　ㄔㄨㄢˊ
氣壯山河,ㄑㄧˋ　ㄓㄨㄤˋ　ㄕㄢ　ㄏㄜˊ
氣宇軒昂,ㄑㄧˋ　ㄩˇ　ㄒㄩㄢ　ㄤˊ
氣定神閒,ㄑㄧˋ　ㄉㄧㄥˋ　ㄕㄣˊ　ㄒㄧㄢˊ
氣急敗壞,ㄑㄧˋ　ㄐㄧˊ　ㄅㄞˋ　ㄏㄨㄞˋ
氣息奄奄,ㄑㄧˋ　ㄒㄧˊ　ㄧㄢ　ㄧㄢ
氣沖沖,ㄑㄧˋ　ㄔㄨㄥ　ㄔㄨㄥ
氣燄高張,ㄑㄧˋ　ㄧㄢˋ　ㄍㄠ　ㄓㄤ
氣管炎,ㄑㄧˋ　ㄍㄨㄢˇ　ㄧㄢˊ
氣象萬千,ㄑㄧˋ　ㄒㄧㄤˋ　ㄨㄢˋ　ㄑㄧㄢ
氣象雷達,ㄑㄧˋ　ㄒㄧㄤˋ　ㄌㄟˊ　ㄉㄚˊ
氯乙烯,ㄌㄩˋ　ㄧˇ　ㄒㄧ
氯化鉀,ㄌㄩˋ　ㄏㄨㄚˋ　ㄐㄧㄚˇ
氯黴素,ㄌㄩˋ　ㄇㄟˊ　ㄙㄨˋ
氰化物,ㄑㄧㄥ　ㄏㄨㄚˋ　ㄨˋ
水上人家,ㄕㄨㄟˇ　ㄕㄤˋ　ㄖㄣˊ　ㄐㄧㄚ
水上摩托車,ㄕㄨㄟˇ　ㄕㄤˋ　ㄇㄛˊ　ㄊㄨㄛ　ㄔㄜ
水上芭蕾,ㄕㄨㄟˇ　ㄕㄤˋ　ㄅㄚ　ㄌㄟˇ
水中撈月,ㄕㄨㄟˇ　ㄓㄨㄥ　ㄌㄠ　ㄩㄝˋ
水乳交融,ㄕㄨㄟˇ　ㄖㄨˇ　ㄐㄧㄠ　ㄖㄨㄥˊ
水來土掩,ㄕㄨㄟˇ　ㄌㄞˊ　ㄊㄨˇ　ㄧㄢˇ
水光瀲灩,ㄕㄨㄟˇ　ㄍㄨㄤ　ㄌㄧㄢˋ　ㄧㄢˋ
水利工程,ㄕㄨㄟˇ　ㄌㄧˋ　ㄍㄨㄥ　ㄔㄥˊ
水到渠成,ㄕㄨㄟˇ　ㄉㄠˋ　ㄑㄩˊ　ㄔㄥˊ
水力發電,ㄕㄨㄟˇ　ㄌㄧˋ　ㄈㄚ　ㄉㄧㄢˋ
水土不服,ㄕㄨㄟˇ　ㄊㄨˇ　ㄅㄨˋ　ㄈㄨˊ
水土保持,ㄕㄨㄟˇ　ㄊㄨˇ　ㄅㄠˇ　ㄔˊ
水墨畫,ㄕㄨㄟˇ　ㄇㄛˋ　ㄏㄨㄚˋ
水平線,ㄕㄨㄟˇ　ㄆㄧㄥˊ　ㄒㄧㄢˋ
水平面,ㄕㄨㄟˇ　ㄆㄧㄥˊ　ㄇㄧㄢˋ
水彩畫,ㄕㄨㄟˇ　ㄘㄞˇ　ㄏㄨㄚˋ
水性楊花,ㄕㄨㄟˇ　ㄒㄧㄥˋ　ㄧㄤˊ　ㄏㄨㄚ
水族館,ㄕㄨㄟˇ　ㄗㄨˊ　ㄍㄨㄢˇ
水晶宮,ㄕㄨㄟˇ　ㄐㄧㄥ　ㄍㄨㄥ
水晶體,ㄕㄨㄟˇ　ㄐㄧㄥ　ㄊㄧˇ
水汙染,ㄕㄨㄟˇ　ㄨ　ㄖㄢˇ
水汪汪,ㄕㄨㄟˇ　ㄨㄤ　ㄨㄤ
水泄不通,ㄕㄨㄟˇ　ㄒㄧㄝˋ　ㄅㄨˋ　ㄊㄨㄥ
水泥叢林,ㄕㄨㄟˇ　ㄋㄧˊ　ㄘㄨㄥˊ　ㄌㄧㄣˊ
水深火熱,ㄕㄨㄟˇ　ㄕㄣ　ㄏㄨㄛˇ　ㄖㄜˋ
水漲船高,ㄕㄨㄟˇ　ㄓㄤˇ　ㄔㄨㄢˊ　ㄍㄠ
水火不容,ㄕㄨㄟˇ　ㄏㄨㄛˇ　ㄅㄨˋ　ㄖㄨㄥˊ
水火無情,ㄕㄨㄟˇ　ㄏㄨㄛˇ　ㄨˊ　ㄑㄧㄥˊ
水磨工夫,ㄕㄨㄟˇ　ㄇㄛˊ　ㄍㄨㄥ　ㄈㄨ
水筆仔,ㄕㄨㄟˇ　ㄅㄧˇ　ㄗˇ
水耕栽培,ㄕㄨㄟˇ　ㄍㄥ　ㄗㄞ　ㄆㄟˊ
水落石出,ㄕㄨㄟˇ　ㄌㄨㄛˋ　ㄕˊ　ㄔㄨ
水蒸氣,ㄕㄨㄟˇ　ㄓㄥ　ㄑㄧˋ
水蜜桃,ㄕㄨㄟˇ　ㄇㄧˋ　ㄊㄠˊ
水資源,ㄕㄨㄟˇ　ㄗ　ㄩㄢˊ
水鄉澤國,ㄕㄨㄟˇ　ㄒㄧㄤ　ㄗㄜˊ　ㄍㄨㄛˊ
水銀柱,ㄕㄨㄟˇ　ㄧㄣˊ　ㄓㄨˋ
水銀燈,ㄕㄨㄟˇ　ㄧㄣˊ　ㄉㄥ
水門案,ㄕㄨㄟˇ　ㄇㄣˊ　ㄢˋ
水龍頭,ㄕㄨㄟˇ　ㄌㄨㄥˊ　ㄊㄡˊ
永垂不朽,ㄩㄥˇ　ㄔㄨㄟˊ　ㄅㄨˋ　ㄒㄧㄡˇ
永字八法,ㄩㄥˇ　ㄗˋ　ㄅㄚ　ㄈㄚˇ
永結同心,ㄩㄥˇ　ㄐㄧㄝˊ　ㄊㄨㄥˊ　ㄒㄧㄣ
氾濫成災,ㄈㄢˋ　ㄌㄢˋ　ㄔㄥˊ　ㄗㄞ
求之不得,ㄑㄧㄡˊ　ㄓ　ㄅㄨˋ　ㄉㄜˊ
求仁得仁,ㄑㄧㄡˊ　ㄖㄣˊ　ㄉㄜˊ　ㄖㄣˊ
求全責備,ㄑㄧㄡˊ　ㄑㄩㄢˊ　ㄗㄜˊ　ㄅㄟˋ
求同存異,ㄑㄧㄡˊ　ㄊㄨㄥˊ　ㄘㄨㄣˊ　ㄧˋ
求好心切,ㄑㄧㄡˊ　ㄏㄠˇ　ㄒㄧㄣ　ㄑㄧㄝˋ
求才若渴,ㄑㄧㄡˊ　ㄘㄞˊ　ㄖㄨㄛˋ　ㄎㄜˇ
求新求變,ㄑㄧㄡˊ　ㄒㄧㄣ　ㄑㄧㄡˊ　ㄅㄧㄢˋ
求神問卜,ㄑㄧㄡˊ　ㄕㄣˊ　ㄨㄣˋ　ㄅㄨˇ
求賢若渴,ㄑㄧㄡˊ　ㄒㄧㄢˊ　ㄖㄨㄛˋ　ㄎㄜˇ
求過於供,ㄑㄧㄡˊ　ㄍㄨㄛˋ　ㄩˊ　ㄍㄨㄥ
汗流浹背,ㄏㄢˋ　ㄌㄧㄡˊ　ㄐㄧㄚˊ　ㄅㄟˋ
汗涔涔,ㄏㄢˋ　ㄘㄣˊ　ㄘㄣˊ
汗牛充棟,ㄏㄢˋ　ㄋㄧㄡˊ　ㄔㄨㄥ　ㄉㄨㄥˋ
汗馬功勞,ㄏㄢˋ　ㄇㄚˇ　ㄍㄨㄥ　ㄌㄠˊ
江河日下,ㄐㄧㄤ　ㄏㄜˊ　ㄖˋ　ㄒㄧㄚˋ
江洋大盜,ㄐㄧㄤ　ㄧㄤˊ　ㄉㄚˋ　ㄉㄠˋ
江米人,ㄐㄧㄤ　ㄇㄧˇ　ㄖㄣˊ
江郎才盡,ㄐㄧㄤ　ㄌㄤˊ　ㄘㄞˊ　ㄐㄧㄣˋ
池中物,ㄔˊ　ㄓㄨㄥ　ㄨˋ
池魚之殃,ㄔˊ　ㄩˊ　ㄓ　ㄧㄤ
汨羅江,ㄇㄧˋ　ㄌㄨㄛˊ　ㄐㄧㄤ
汰舊換新,ㄊㄞˋ　ㄐㄧㄡˋ　ㄏㄨㄢˋ　ㄒㄧㄣ
汲汲營營,ㄐㄧˊ　ㄐㄧˊ　ㄧㄥˊ　ㄧㄥˊ
決勝局,ㄐㄩㄝˊ　ㄕㄥˋ　ㄐㄩˊ
決勝負,ㄐㄩㄝˊ　ㄕㄥˋ　ㄈㄨˋ
決明子,ㄐㄩㄝˊ　ㄇㄧㄥˊ　ㄗˇ
汽油添加劑,ㄑㄧˋ　ㄧㄡˊ　ㄊㄧㄢ　ㄐㄧㄚ　ㄐㄧˋ
汽車保險,ㄑㄧˋ　ㄔㄜ　ㄅㄠˇ　ㄒㄧㄢˇ
汽車旅館,ㄑㄧˋ　ㄔㄜ　ㄌㄩˇ　ㄍㄨㄢˇ
汽車美容,ㄑㄧˋ　ㄔㄜ　ㄇㄟˇ　ㄖㄨㄥˊ
汽電共生,ㄑㄧˋ　ㄉㄧㄢˋ　ㄍㄨㄥˋ　ㄕㄥ
沁人心脾,ㄑㄧㄣˋ　ㄖㄣˊ　ㄒㄧㄣ　ㄆㄧˊ
沁涼如水,ㄑㄧㄣˋ　ㄌㄧㄤˊ　ㄖㄨˊ　ㄕㄨㄟˇ
沃野千里,ㄨㄛˋ　ㄧㄝˇ　ㄑㄧㄢ　ㄌㄧˇ
沆瀣一氣,ㄏㄤˋ　ㄒㄧㄝˋ　ㄧ　ㄑㄧˋ
沉積岩,ㄔㄣˊ　ㄐㄧ　ㄧㄢˊ
沉魚落雁,ㄔㄣˊ　ㄩˊ　ㄌㄨㄛˋ　ㄧㄢˋ
沉默寡言,ㄔㄣˊ　ㄇㄛˋ　ㄍㄨㄚˇ　ㄧㄢˊ
沒主意,ㄇㄟˊ　ㄓㄨˇ　˙　ㄧ
沒什麼,ㄇㄟˊ　ㄕㄣˊ　˙　ㄇㄜ
沒來由,ㄇㄟˊ　ㄌㄞˊ　ㄧㄡˊ
沒出息,ㄇㄟˊ　ㄔㄨ　˙　ㄒㄧ
沒好氣,ㄇㄟˊ　ㄏㄠˇ　ㄑㄧˋ
沒志氣,ㄇㄟˊ　ㄓˋ　˙　ㄑㄧ
沒想到,ㄇㄟˊ　ㄒㄧㄤˇ　ㄉㄠˋ
沒意思,ㄇㄟˊ　ㄧˋ　˙　ㄙ
沒指望,ㄇㄟˊ　ㄓˇ　˙　ㄨㄤ
沒精打采,ㄇㄟˊ　ㄐㄧㄥ　ㄉㄚˇ　ㄘㄞˇ
沒良心,ㄇㄟˊ　ㄌㄧㄤˊ　ㄒㄧㄣ
沒著落,ㄇㄟˊ　ㄓㄨㄛˊ　ㄌㄨㄛˋ
沒辦法,ㄇㄟˊ　ㄅㄢˋ　ㄈㄚˇ
沒道理,ㄇㄟˊ　ㄉㄠˋ　ㄌㄧˇ
沒頭沒腦,ㄇㄟˊ　ㄊㄡˊ　ㄇㄟˊ　ㄋㄠˇ
沒骨氣,ㄇㄟˊ　ㄍㄨˇ　˙　ㄑㄧ
沖積層,ㄔㄨㄥ　ㄐㄧ　ㄘㄥˊ
沖積平原,ㄔㄨㄥ　ㄐㄧ　ㄆㄧㄥˊ　ㄩㄢˊ
沖積扇,ㄔㄨㄥ　ㄐㄧ　ㄕㄢˋ
沙丁魚,ㄕㄚ　ㄉㄧㄥ　ㄩˊ
沙拉油,ㄕㄚ　ㄌㄚ　ㄧㄡˊ
沙文主義,ㄕㄚ　ㄨㄣˊ　ㄓㄨˇ　ㄧˋ
沙盤推演,ㄕㄚ　ㄆㄢˊ　ㄊㄨㄟ　ㄧㄢˇ
河東獅吼,ㄏㄜˊ　ㄉㄨㄥ　ㄕ　ㄏㄡˇ
油嘴滑舌,ㄧㄡˊ　ㄗㄨㄟˇ　ㄏㄨㄚˊ　ㄕㄜˊ
油漆匠,ㄧㄡˊ　ㄑㄧ　ㄐㄧㄤˋ
油然而生,ㄧㄡˊ　ㄖㄢˊ　ㄦˊ　ㄕㄥ
油腔滑調,ㄧㄡˊ　ㄑㄧㄤ　ㄏㄨㄚˊ　ㄉㄧㄠˋ
油膩膩,ㄧㄡˊ　ㄋㄧˋ　ㄋㄧˋ
油頭粉面,ㄧㄡˊ　ㄊㄡˊ　ㄈㄣˇ　ㄇㄧㄢˋ
沽名釣譽,ㄍㄨ　ㄇㄧㄥˊ　ㄉㄧㄠˋ　ㄩˋ
沾沾自喜,ㄓㄢ　ㄓㄢ　ㄗˋ　ㄒㄧˇ
沾親帶故,ㄓㄢ　ㄑㄧㄣ　ㄉㄞˋ　ㄍㄨˋ
泌尿器,ㄇㄧˋ　ㄋㄧㄠˋ　ㄑㄧˋ
法力無邊,ㄈㄚˇ　ㄌㄧˋ　ㄨˊ　ㄅㄧㄢ
法外施仁,ㄈㄚˇ　ㄨㄞˋ　ㄕ　ㄖㄣˊ
法外施恩,ㄈㄚˇ　ㄨㄞˋ　ㄕ　ㄣ
法定代理人,ㄈㄚˇ　ㄉㄧㄥˋ　ㄉㄞˋ　ㄌㄧˇ　ㄖㄣˊ
法定程序,ㄈㄚˇ　ㄉㄧㄥˋ　ㄔㄥˊ　ㄒㄩˋ
法拍屋,ㄈㄚˇ　ㄆㄞ　ㄨ
法網恢恢，疏而不漏,ㄈㄚˇ　ㄨㄤˇ　ㄏㄨㄟ　ㄏㄨㄟ　ㄕㄨ　ㄦˊ　ㄅㄨˋ　ㄌㄡˋ
泛泛之交,ㄈㄢˋ　ㄈㄢˋ　ㄓ　ㄐㄧㄠ
