默念,ㄇㄛˋ　ㄋㄧㄢˋ
默讀,ㄇㄛˋ　ㄉㄨˊ
默禱,ㄇㄛˋ　ㄉㄠˇ
默默,ㄇㄛˋ　ㄇㄛˋ
默片,ㄇㄛˋ　ㄆㄧㄢˋ
墨魚,ㄇㄛˋ　ㄩˊ
默,ㄇㄛˋ
墨水,ㄇㄛˋ　ㄕㄨㄟˇ
墨鏡,ㄇㄛˋ　ㄐㄧㄥˋ
墨汁,ㄇㄛˋ　ㄓ
墨跡,ㄇㄛˋ　ㄐㄧ
墨痕,ㄇㄛˋ　ㄏㄣˊ
墨客,ㄇㄛˋ　ㄎㄜˋ
墨綠,ㄇㄛˋ　ㄌㄩˋ
墨寶,ㄇㄛˋ　ㄅㄠˇ
墨斗,ㄇㄛˋ　ㄉㄡˇ
貉,(二)ㄇㄛˋ
墨,ㄇㄛˋ
驀然,ㄇㄛˋ　ㄖㄢˊ
寞,ㄇㄛˋ
瘼,ㄇㄛˋ
驀,ㄇㄛˋ
驀地,ㄇㄛˋ　ㄉㄧˋ
漠然,ㄇㄛˋ　ㄖㄢˊ
漠視,ㄇㄛˋ　ㄕˋ
莫若,ㄇㄛˋ　ㄖㄨㄛˋ
漠,ㄇㄛˋ
莫說,ㄇㄛˋ　ㄕㄨㄛ
莫如,ㄇㄛˋ　ㄖㄨˊ
莫怪,ㄇㄛˋ　ㄍㄨㄞˋ
莫逆,ㄇㄛˋ　ㄋㄧˋ
莫非,ㄇㄛˋ　ㄈㄟ
莫,(一)ㄇㄛˋ
脈脈,ㄇㄛˋ　ㄇㄛˋ
貊,ㄇㄛˋ
脈,(二)ㄇㄛˋ
陌生,ㄇㄛˋ　ㄕㄥ
陌,ㄇㄛˋ
陌路,ㄇㄛˋ　ㄌㄨˋ
歿,ㄇㄛˋ
冒,(二)ㄇㄛˋ
冒頓,ㄇㄛˋ　ㄉㄨˊ
沒收,ㄇㄛˋ　ㄕㄡ
沒落,ㄇㄛˋ　ㄌㄨㄛˋ
沒,(一)ㄇㄛˋ
秣,ㄇㄛˋ
茉,ㄇㄛˋ
